Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5,J1,J2
10.5,19.71,20.34,19.72,19.89,21.52,22.22,22.27,22.24,22.84,22.76,23.15,23.75,24.68,22.44,23.45,22.99,28.88,28.74,30.83,30.81,31.59,28.96,29.63,51.87,51.36,51.61,51.87,52.12,57.42,57.99,70.51,71.22,73.61,74.33,77.2,76.46,76.65,76.45,86.07,85.22,105.06,104.03,105.74,77.61,81.81
11,20.09,20.73,20.08,20.27,21.93,22.64,22.69,22.66,23.28,23.19,23.58,24.21,25.15,22.87,23.9,23.42,29.42,29.28,31.41,31.39,32.17,29.5,30.18,53.14,52.63,52.89,53.14,53.4,58.87,59.44,72.18,72.88,75.32,76.06,79.55,78.78,78.97,78.78,88.72,87.84,108.19,107.13,108.94,80.45,84.77
11.5,20.45,21.13,20.45,20.64,22.31,23.05,23.11,23.08,23.71,23.62,24.01,24.67,25.63,23.28,24.34,23.84,29.95,29.81,31.98,31.96,32.76,30.04,30.73,54.42,53.89,54.15,54.42,54.68,60.31,60.9,73.82,74.55,77.01,77.77,81.88,81.09,81.29,81.09,91.36,90.45,111.3,110.21,112.13,83.27,87.72
12,20.82,21.52,20.81,21.01,22.71,23.48,23.54,23.5,24.14,24.04,24.44,25.11,26.09,23.71,24.78,24.27,30.49,30.35,32.55,32.53,33.34,30.58,31.28,55.68,55.14,55.41,55.68,55.95,61.74,62.35,75.46,76.2,78.71,79.48,84.21,83.39,83.6,83.39,93.98,93.05,114.4,113.28,115.31,86.1,90.66
12.5,21.18,21.91,21.18,21.38,23.11,23.89,23.94,23.91,24.57,24.47,24.88,25.56,26.56,24.13,25.22,24.7,31.02,30.88,33.11,33.09,33.91,31.12,31.82,56.94,56.38,56.67,56.94,57.22,63.17,63.78,77.09,77.86,80.39,81.17,86.52,85.69,85.9,85.69,96.59,95.63,117.48,116.33,118.46,88.9,93.57
13,21.54,22.3,21.53,21.73,23.49,24.3,24.36,24.33,24.98,24.89,25.31,26.01,27.03,24.55,25.65,25.12,31.55,31.41,33.67,33.65,34.5,31.65,32.37,58.19,57.63,57.91,58.19,58.48,64.58,65.22,78.72,79.5,82.07,82.87,88.82,87.97,88.18,87.97,99.2,98.21,120.55,119.37,121.61,91.71,96.5
13.5,21.9,22.68,21.9,22.1,23.87,24.72,24.78,24.74,25.41,25.31,25.73,26.45,27.49,24.97,26.09,25.54,32.07,31.94,34.24,34.22,35.07,32.18,32.91,59.44,58.87,59.15,59.44,59.73,66,66.64,80.33,81.13,83.73,84.56,91.12,90.23,90.45,90.24,101.78,100.78,123.61,122.4,124.74,94.49,99.41
14,22.26,23.07,22.26,22.46,24.26,25.12,25.18,25.15,25.83,25.73,26.15,26.9,27.95,25.38,26.52,25.96,32.6,32.46,34.79,34.77,35.64,32.71,33.45,60.69,60.1,60.39,60.69,60.98,67.4,68.07,81.94,82.76,85.4,86.23,93.4,92.49,92.72,92.5,104.36,103.33,126.65,125.41,127.85,97.28,102.33
14.5,22.61,23.44,22.6,22.83,24.64,25.53,25.59,25.56,26.25,26.14,26.59,27.34,28.41,25.79,26.95,26.37,33.12,32.98,35.34,35.32,36.21,33.23,33.99,61.93,61.33,61.63,61.93,62.22,68.81,69.48,83.55,84.37,87.04,87.89,95.67,94.75,94.98,94.75,106.93,105.87,129.67,128.4,130.95,99.07,105.21
15,22.97,23.83,22.96,23.18,25.03,25.93,26,25.96,26.67,26.56,27,27.79,28.86,26.21,27.37,26.79,33.64,33.49,35.89,35.87,36.77,33.75,34.52,63.16,62.54,62.84,63.16,63.46,70.2,70.89,85.14,85.98,88.7,89.56,97.94,96.99,97.23,96.99,109.49,108.4,132.69,131.39,134.04,99.54,105.86
15.5,23.32,24.21,23.32,23.54,25.41,26.34,26.4,26.37,27.09,26.97,27.42,28.22,29.32,26.61,27.79,27.2,34.16,34.01,36.44,36.42,37.33,34.27,35.05,64.38,63.76,64.07,64.38,64.7,71.58,72.29,86.73,87.58,90.33,91.21,100.19,99.21,99.45,99.22,112.03,110.92,135.7,134.37,137.12,102.2,108.67
16,23.67,24.59,23.67,23.89,25.79,26.74,26.8,26.76,27.49,27.38,27.83,28.65,29.77,27.02,28.22,27.61,34.67,34.52,36.98,36.96,37.89,34.79,35.58,65.6,64.97,65.28,65.6,65.92,72.97,73.68,88.31,89.18,91.96,92.86,102.43,101.43,101.68,101.44,114.56,113.42,138.68,137.32,140.18,104.85,111.47
